2018-05-20 20:39:21,692 [Worker-216] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 20:40:27,243 [Worker-213] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 20:40:27,253 [Worker-213] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 20:40:27,261 [Worker-213] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 20:40:27,265 [Worker-213] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:08:31,863 [Worker-264] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:08:31,868 [Worker-264] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:08:31,869 [Worker-264] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:08:31,874 [Worker-264] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:09:15,575 [Worker-264] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:09:15,587 [Worker-264] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:09:15,593 [Worker-264] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:09:15,597 [Worker-264] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:10:31,997 [Worker-268] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:10:32,001 [Worker-268] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:10:32,003 [Worker-268] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:10:32,006 [Worker-268] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:11:21,283 [Worker-264] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:11:21,292 [Worker-264] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:11:21,296 [Worker-264] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:11:21,299 [Worker-264] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:12:36,403 [Worker-263] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:12:36,407 [Worker-263] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:12:36,408 [Worker-263] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:12:36,411 [Worker-263] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:12:51,372 [Worker-266] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:12:51,380 [Worker-266] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:12:51,385 [Worker-266] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:12:51,390 [Worker-266] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:13:16,914 [Worker-267] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:13:16,918 [Worker-267] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:13:16,919 [Worker-267] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:13:16,927 [Worker-267] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:15:44,636 [Worker-264] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:15:44,645 [Worker-264] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:15:44,650 [Worker-264] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:15:44,654 [Worker-264] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:15:58,517 [Worker-263] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:15:58,522 [Worker-263] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:15:58,523 [Worker-263] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:15:58,524 [Worker-263] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:17:03,715 [Worker-266] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:17:03,722 [Worker-266] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:17:03,727 [Worker-266] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:17:03,730 [Worker-266] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 09:18:39,997 [Worker-264] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:18:40,002 [Worker-264] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 09:18:40,003 [Worker-264] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 09:18:40,007 [Worker-264] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 10:56:53,435 [Worker-265] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 10:56:53,440 [Worker-265] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 10:56:53,444 [Worker-265] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 10:56:53,447 [Worker-265] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 10:57:47,204 [Worker-270] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 10:57:47,207 [Worker-270] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 10:57:47,208 [Worker-270] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 10:57:47,211 [Worker-270] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 10:57:52,564 [Worker-271] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 10:57:52,572 [Worker-271] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-21 10:57:52,576 [Worker-271] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-21 10:57:52,580 [Worker-271] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-21 11:03:01,657 [Worker-270] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
